title,platforms,rating,votes,developer,release_date,price,genres,url
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS PS4 & PS5,"['PS4', 'PS5']",3.72,4134,Bandai Namco Entertainment America Inc.,2023-11-17,59.99,"['Action', 'Fighting', 'Adventure']",https://store.playstation.com/en-us/concept/10004744
Far Cry 6: Standard Edition PS4 & PS5,"['PS4', 'PS5']",4.04,47772,Ubisoft Entertainment,2021-10-07,59.99,['Unique'],https://store.playstation.com/en-us/concept/233961
Disney Dreamlight Valley,"['PS4', 'PS5']",4.31,3017,Gameloft Inc.,2022-09-06,39.99,"['Adventure', 'Simulation', 'Simulator']",https://store.playstation.com/en-us/concept/10002466
DRAGON BALL Z: KAKAROT,"['PS4', 'PS5']",4.57,44418,Bandai Namco Entertainment America Inc.,2023-01-13,59.99,"['Action', 'Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/233235
The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4,"['PS4', 'PS5']",4.76,69394,Bethesda Softworks,2021-11-11,39.99,"['Role Playing Games', 'Action']",https://store.playstation.com/en-us/concept/230955
EA SPORTS™ PGA TOUR™,['PS5'],3.47,725,Electronic Arts Inc,2023-04-07,69.99,['Sport'],https://store.playstation.com/en-us/concept/10001789
Disney Speedstorm,"['PS4', 'PS5']",4.14,11901,Gameloft Inc.,2023-04-18,0.0,"['Action', 'Driving/Racing', 'Simulator']",https://store.playstation.com/en-us/concept/10002651
Batman™: Arkham Knight,['PS4'],4.63,117282,Warner Bros. Interactive,2015-06-23,19.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/200472
Yu-Gi-Oh! MASTER DUEL,"['PS4', 'PS5']",4.1,16254,"Konami Digital Entertainment, Inc.",2022-01-19,0.0,"['Family', 'Strategy']",https://store.playstation.com/en-us/concept/10001481
Need for Speed™ Heat,['PS4'],4.18,51234,Electronic Arts Inc,2019-11-08,8.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/234659
Unicorn Overlord,"['PS4', 'PS5']",4.85,5266,"SEGA of America, Inc.",2024-03-08,44.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10002780
Hell Let Loose,['PS5'],4.25,3866,Team17 Software Ltd.,2021-10-05,32.49,['Shooter'],https://store.playstation.com/en-us/concept/10001996
Gang Beasts,['PS4'],4.25,69302,BONELOAF LIMITED,2017-12-12,19.99,"['Fighting', 'Action', 'Party']",https://store.playstation.com/en-us/concept/216234
Horizon Forbidden West™,"['PS4', 'PS5']",4.63,37835,Sony Interactive Entertainment,2022-02-18,49.99,['Action'],https://store.playstation.com/en-us/concept/10000886
